<one employee	Where was killed	Sudanese region of Darfur>
<U.S. taxpayers	deserves	a large share of what Goldman made>
<Rancic	What say about it	"Even though I moved a tad slower than usual today, everyone welcomed me back with open arms and>
<Rancic	What say about it	was a wonderful homecoming,">
<UK	expelled	was the Israeli official get from>
<an AirTran Airways jet skidded off the runway at Quad City International Airport,	happened	in Moline , Illinois>
<12-year-old	is the age of	the girl who was a detective>
<Cathy Nelson	campaigned with for gay and lesbian rights	Lauper>
<more than 8,500	helped	many victims are by the centre each year>
<Paris	recovering	is Ronoldo>
<vehicle,	break	suspect trying to break into>
<killed	flew	to Hunter 's husband when Andrew joseph flew a plane into a building>
<classrooms	banned	are the crucifixes from>
<many deaths	are from the storms	At least one>
<the model of car you drive	say something about your personality	people have chosen their rides based on what their>
<A Southwest Airlines jet	made an emergency landing in	Charleston , West Virginia>
<Arcade Comeaux Jr.,	had	two pistols>
<How many people	were sickened	74>
<38,	was	age   the dead man>
<a request to judges	submit	Libya to submit what to the conduct trial>
<38,000 miles	the minimum distance the asteroid will pass by	the earth>
<she	when was the last time was hospitalized	February>
<Teach For America	placed college grads as	teachers>
<suicides	the third leading cause of death in	the Navy>
<the Arsenal 's English	lose	3-2>
<the tire valve model	What is	No. TR413>
<previous attacks against Islamic communities	be	Massacre to be   in retaliation of what>
<Which country	launched its first satellite	Iran>
<organization, facilities and sheer participation numbers	are	the resources>
<Novak Djokovic	beaten	was in he second round of the Paris Masters>
<Bush	call the meeting	"relaxed" and "friendly">
<350,000	make	many Nanos is Tata to make>
<a year	make	many Nanos is Tata to make>
<which title number	was this	44th>
<Amanda Knox's aunt	is	Janet Huff>
<Darla	the name of	Shields ' dog>
<profile information and content	hidden	is from view>
<former Secretary of State	is	kissinger>
<59-year-old	the age of	the shooter>
<Daily two-mile walks	lower	can lower blood pressure>
<Michael Jackson	love	chimpanzees,>
<Manmohan Singh's	seeking	is the name of the Prime Minister seeking re - election>
<20 years	did	how long did Al - akim live in exile in Iran>
<the black ice located	Where is	Minneapolis,>
<that	Is Police has been able to confirm was hate crime	"We can't say yet it is a>
<At least 12	reported	many unconfirmed instances of dengue hemorrhagic fever were in Bolivia>
<New York,	is	Orange County>
<Two-year-old	was	age Riley>
<Dana Perino	was	the spokesperson>
<Chavez	accused of lying	Uribe>
<as a teenager	gaining	did Kelly Pless gaining weight>
<Manor GP	What is going to be rebranded	Virgin Racing>
<he is the father	the issue of	the lawsuit>
<the 20 defendants given due process	Were according to the court 's ruling	denied>
<70- to 80-percent	the Houston 's Pastor 's success rate with	addicts>
<Page	heped design Zeppelin 's album cover "	" IV>
<the minimum age	what is	18>
<MEXICO	spread	has H1N1>
<Mexico	spread	has H1N1>
<CITY,	spread	has H1N1>
<a dangerous hallucinogenic potion,	drink	The in the campaign where forced to drink what>
<the HBO show	Where is set	Baltimore-set>
<Iran 's Intelligence Ministry	compiles list of what	60 groups>
<Who	became the new world champ	Lamont Peterson>
<they	many times fight	three>
<the couple's two daughters	is	Richard 's priority>
<Sam, 7, and Lola, 6	is	Richard 's priority>
<it	How many weeks take for the mexican product to decompose	six>
<Graphic footage of death and destruction	shown	has been on state run networks>
<President Obama	say	"Both sides can take some blame for a sour climate on Capitol Hill,">
<Dominique Strauss-Kahn	spend his time at island	rikers>
<who	was found to be underage	gymnast Dong Fangxiao>
<30	the number of he has	days>
<the state - run news agency	say	before the death of his father was announced,>
<the state - run news agency	say	Kim Jong Un issued his first military orders as leader of North Korea just>
<the doctors	turn their home What into	makeshift triage areas>
<96,000	are	many refugees there>
<one of the strongest Islamic militias	is	Al - Shabaab>
<the neighborhood of Haleigh Ann-Marie Cummings,	search	do they>
<Beck	many pictures take	1,400>
<person	said their dream was to be a great husband and father	Vinny Hickerson>
<the cell phone	show any activity	no>
<eat fewer	eating	shoppers eating more eggs or beans>
<and	eating	shoppers eating more eggs or beans>
None
None
None
<"uncontacted tribes"	the term used to describe those with	no outside contact>
<Robert Mugabe	is the president of	Zimbabwe>
<South Carolina,	happen	did this>
<Hardeeville,	happen	did this>
<U.S. Sen. David Vitter	tries to keep	a low profile>
<How many flights	were cancelled	69>
<the ten men dressed in	What were	black clothes and black ski masks,>
<Violent protests	is	the cause>
<three	got	many times a defibrillator used on Russert before he got to the hospital>
<What	is going to be reversed	the Bush administration's limits on embryonic stem-cell research,>
<Steve Williams,	says he would not have kept secret just to protect his job	scandal>
<U.S. proposals	say	province's Arabs and Turkmen,>
<wolves	do	not threaten people,>
<the distress call from	was	MV Amira,>
<born	is	wrong with the baby>
<his heart protruding from his chest	is	wrong with the baby>
<Pakistan	associated	country Benazir Bhutto associated with>
<white	involved	type of shark was>
<great	involved	type of shark was>
<Diane Wood,	has	a long relatively liberal judical record>
<$34.1 million,	did	much did " The Proposal ">
<the victory	What mean for the charity	$250,000>
<the victory	What mean for the charity	Rivers'>
<lose his job	happen	will to Peter Parker>
<11	found	many bodies have been at the site>
<the median exposure	equivalelnt to	600 chest x - rays>
<Venezuela	are	Relations tense between which two countries>
<75-year-old	the age of	Teri Shields>
<flooding	caused	the tragedy>
<the storm	do	damaging trees, power lines>
<the war with	is	Iran>
<Guatemala	have	Which countries baby - stealing>
<Vietnam	have	Which countries baby - stealing>
<U.S. Agency for International Development,	offering	is seeds>
<bouquet of flowers	send	did Gates>
<he	when will be executed	10>
<he	when will be executed	December>
<Humanitarian groups	helped what	new schools>
<Mourners gather around the grave of Neda Agh-Soltan	protesting	are they>
<duty	relieved	have 10 people been of>
<February and March,	launched	will the Tolou satellites be into orbit>
<The storm	caused minimal visibility " along which Interstate north of Tucson	10>
<One woman	died	near Rome>
<radio microphone,	remove	did he to remove>
<the Cavalry Regiment	How many soldiers did save	100 fellow>
<Bani Dugal	say	"The allegations are not new, and the Iranian government knows well that they are untrue,">
<family	began searching for	Lavau>
<President Bush	say	"He'll battle cancer and win,">
<President Bush	say	"It's been a joy to watch him spar with you,">
<the resident	say	mushroom cloud>
<"The Presidency hopes that outcome of the Presidential elections	be	Will there an opportunity for dialogue on the nuclear issue>
<bring the	be	Will there an opportunity for dialogue on the nuclear issue>
<to resume the	be	Will there an opportunity for dialogue on the nuclear issue>
<South African	preside	country did Mbeki over>
<everybody	What is " 's fine " targeted at	people with parents, brothers, sisters or children,>
<How many people	were injured	27>
<the report	What say about Israeli soldiers	routinely and intentionally put children in harm's way during their 22-day>
<long did carlsberg	sponsor the team for	17-year>
<many people	lived in St. Bernard Parish	67,000>
<Which person	won the title	Chestnut,>
<it	much cost	$155,000>
<Jordan	closed	the case>
<Faisal Shahzad	wear	all black>
<cheaper hotel rooms,	is	is strong>
<home with his parents,	started	the boy who started the fire>
<he	is	Democrats>
<Ripken	many games play	21-game>
<Which team	won on Sunday	Real Madrid>
<Sharapova	lost in to China 's Li Na	straight sets>
<Maria	lost in to China 's Li Na	straight sets>
<Harrison	die from	cancer>
<Persie	be for	six weeks">
<Persie	be for	"approximately>
<The spa treatments	were where	Thalasso>
<Adrian Mutu	scored	for Fiorentina>
<it	when was scheduled to leave	December 31, 2011,>
<United States	involved	countries are>
<Somalia,	involved	countries are>
<North Korean	involved	countries are>
<the Greek watchdog	is	The Hellenic Data Protection Authority>
<IFCO Systems North America,	luring	is of luring workers>
<Adam Leon,	does FBI identify as	pilot>
<Italian Open	took	the golf tour took place>
<Portugal	beat	did Denmark>
<two counts of dangerous driving	jailed	the biker jailed for 12 weeks>
<"Dragonball: Evolution,"	opening	movie starring Miley Cyrus is this weekend>
<Andre Agassi	win the French Open In which year	1998,>
<27,	is	age William>
<Netherlands,	beats Cameroon 2 - 1 in	Cape Town>
<CNN.com	have coverage of	textile factory>
<"Toy Story"	make	did Pixar>
<2008	arrested	was the criminal first>
<in the developing world,"	are	More than half of world 's cell phones where>
<club managers,	were	the men>
<Street battles	began	on Sunday morning>
<President	is	Medvedev>
<World	is	Tiger Woods>
<rights organization	says it videotaped purported animal abuse at	a turkey farm>
<Muhamad Anwar	die of	bled to death>
<12 people	arrested	was>
<the Jena 6 protest	occur in	September>
<you	find the La Brea tar pits	Los Angeles>
<Dwight Arrington Myers,	real name	the rapper 's>
<Troy Dale West Jr,	indicted	has been on new felony charges>
<they	voting on	offshore drilling>
<Rick Steves	do	writes European travel guidebooks>
<Rick Steves	do	hosts travel shows>
<group	claimed responsibility for the plot	Islamic Jihad Union,>
<he	what do to the yacht	sinking>
<12-year-old boy	convert	did the father to convert>
<Children of what lineage	received threats	mixed racial parents>
<building safe vehicles	helps	car sales>
<ankle	was	her injury>
<twisting	was	her injury>
<Melissa Huckaby,	is	the culprit>
<the company base	where is	on three continents>
<it	take effect	at the end of this school year,>
<country	urging love tests	Swaziland>
<amongst fallen boulders	strewn	are bodies>
<$250 billion	was	much Obama 's request for potential financial institution bailouts>
<Sam	the name of	the animal>
<Who	crashed dangerously last year	Sean Langman>
<world leaders,	is Palin meeting on	the sidelines>
<minus-17-degree	got	cold the temperatures that affected the man who got frostbite>
<Vick	serve in home confinement	two months>
<falling,	the trend for the public demand for	beef>
<"narco-terrorists"	does	the military blame>
<"Sons of Anarchy"	is	out on DVD>
<Which series	inspired the popularity of the name Cullen	"Twilight">
<Palestinians	urge the UN	to "punish" Israel>
<a couple grieving the loss of a child	played	Which characters in ` Antichrist ` was by Charlotte Gainsbourgh and Willem Dafoe>
<some civil rights and labor organizations	says they 'll announce a boycott on	Thursday>
<Anthony Wall	was by how many shots	two-shot>
<conservative	values promote	Christian rallies>
<the name for the Marquise cut	come from	18th-century Versailles,>
<the documentary called	What is	"America the Beautiful 2">
<the U.S.	much provide	$500,000>
<the top priority	What was	The search-and-rescue efforts>
<child abuse	some of	the institutions linked to>
<clerical	some of	the institutions linked to>
<religious orders,	some of	the institutions linked to>
<Deccan Mujahideen	the name of	the terrorist group>
<Caroline Faraj	type of fish recommend	salt cured (called maleh), sun-dried (Al kaseef) or ground dried>
<99 percent	the percentage of	ill horses>
<Prejean	oppose	same-sex marriage>
None
<What	continues to be a threat	rain and flood>
<juarez mayor	say	"We know that the U.S. citizens were targeted,">
<'s spokesman	called the rumor	an American Airlines>
<the Dutchman given	What was	the captain's armband>
<women in their 40s	should n't get	routine mammograms>
<women in their 40s	should n't get	routine mammograms>
<Kenya	need the money	$230 million>
<70	the number of homes destroyed by	the fire>
<Caylee Anthony,	missing	went>
<was unknown	the condition of	the suspect>
<the percent of dead	how many	40>
<What	happened six years later	the conflict in Iraq drags on>
<Pakistan	losing	Which cricket team has been of deliberately losing two games>
<Sunday	providing	On what day the newspaper providing free classified ads>
<this Sunday's	providing	On what day the newspaper providing free classified ads>
<Marquez	has $ 3.2 million for	fight>
<Tuesday,	found	was the body of Douglas Schantz>
<Otto	wears scads of	jewelry>
<Cher	Whose decision take to Twitter	her son Chaz Bono's>
<Mahmoud al-Mabhouh,	died last week in	dubai>
<African-American voters	frequently voted for	Obama>
<Latino voters	frequently voted for	Obama>
<first-time voters	frequently voted for	Obama>
<voters making less than $100,000 a year	frequently voted for	Obama>
<appeasement	the central message before	war>
<NASA	plan	fly a fifth and final space shuttle mission>
<Princess of Wales,	was	Diana>
<Princess of Wales,	was	Diana>
<altered or ruined	be	could the results of global warming>
<U.S.	sent plane to where	American Samoa>
<the film	include a satrical montage	including a satirical>
<Potter	say the industry worked to kill	President Obama's>
<disable a roadside bomb	do	did the soldiers to do>
<helps countries pursuing accountability for	confronting	is by directly confronting the past>
<How many officers	were killed	10>
<Four	seized	many kilos of cocaine were>
<Modern West,	the name of	Kevin Costner 's band>
<Queues were	was	large outside of polling booths>
<most	was	large outside of polling booths>
<Queues	was	large outside of polling booths>
<England	defeated Wales 30 - 17 at	Twickenham>
<Stevie Wonder	talk	with CNN>
<the suspect trying to fly to	Where was	Canada>
<the lead	To how many points was cut to	four>
<sent private cables to Obama last week,	do	did Eikenberry>
<Japan	Is in a recession	GDP fell 4 percent last quarter, the fastest pace on record,>
<much of the population	see 3D images	4 percent to 10 percent,>
<How much	is being offered	$40>
<What	was n't popular when introduced	Gibson Les Paul>
<the sentence	How long was	23-month>
<Lovato	What say about it	''I'm singing>
<Lovato	What say about it	some issues that I've never even spoken>
<late Thursday	was	the robbery>
<the BA	on what date wants	November 16,>
<At least 117	missing	number of people are>
<April 9	is	the election for Indonesia 's parliament>
<John McCain	touts	US Canada ties>
<Sen.	touts	US Canada ties>
<the suspect	At which airport was arrested	Nuevo Leon state,>
<this	country happen in	Nigeria>
<killing	doing	is the Taliban to the people>
<beheading	doing	is the Taliban to the people>
<nations	are in conflict over Kashmir	India>
<nations	are in conflict over Kashmir	Pakistan>
<many people	missing after the crash	two>
<actress	is	Kate Winslet>
<unlawfully passing another vehicle while driving,	arrested	was she>
<BIG SUR, California	is	this fire>
<hangar	made	the list>
<elementary school	made	the list>
<students	How many victims	Six>
<Trenor	What plead to	tampering with evidence>
<Joe Biden	will speak with	Blitzer and Borger>
<Jon and Kate Gosselin 's break - up	been like	bitter>
<two high-ranking Syrians and two government controlled entities	did the US put on	sanctions>
<Fort Sumter,	did	On what attack the message comment>
<laptops	placed	Which items can be in the new bags>
<the Prime Minister	ordered	at UK airports>
<the Prime Minister	ordered	a full review of security measures>
<Thomas	What happens if is convicted	possible life in prison>
<northern Sri Lankan district of Mullaittivu,	is	the hospital>
<July	abducted	was she>
<PB Capital	do	sell the hotel privately>
<Ben Roethlisberger	assaulting	was of sexually assaulting a woman at a Georgia nightclub>
<Obama	said acted " stupidly "	the police>
<Fargo	preparing for	near-record floodwaters,>
<tariq aziz	when was hospitalized	Thursday,>
<Sudanese President	is	Omar al - Bashir>
<Kathleen Savio,	the name of	his third wife>
<Sen. McCain	criricize	did Obama>
<Kavya Shivashankar	is from	Olathe, Kansas,>
<has special coverage of one of the world's biggest gatherings of the	doing	is CNN>
<Gordon Bronw 's wife	is	Sarah,>
<Madeleine K. Albright	leads	the Genocide Prevention Task Force>
<William S. Cohen	leads	the Genocide Prevention Task Force>
<the cloned puppy	What do like the original	crosses his paws>
<Which city	the target of terrorist attacks	Mumbai>
<How many	were left homeless	Hundreds of thousands>
<four	won	many titles were by the teams>
<the employees	discover	60 pounds of cocaine>
<you	What does geotagging lets search for	photos based on where>
<the murders	take place In what states	Alabama,>
<the murders	take place In what states	Georgia>
<the murders	take place In what states	Indiana,>
<the family	deserves the presumption of	innocence>
<the VP candidates ' debate	When is scheduled	Thursday>
<netbooks	added	can the GPS and Wi - Fi cards be to>
<the footage	Where will be uploaded daily	YouTube>
<Guardsman	What says about chemical at Iraq plant	the company knew>
<"Moneyball"	is	fascinating>
<16	named	many were by Home Office>
<$29 million dollars	travel expenses	his>
<Walt Staton	is leaving bottles detrimental to according to	Fish and Wildlife Service>
<France	is hosting	the European Football Championship>
<The 8-foot cannon	one of 25 that have been discovered since what year	1997,>
<Nicholas Hughes,	committed	suicide>
<Victor Ortiz and Floyd Mayweather	face each other in the ring	September 17>
<Gayle Williams	is	her name>
<nations	hold joint naval exercises	Venezuela>
<the judges' panel on "American Idol"	will	will the popular talk host fill>
<Iranian	fall	what Influence Iraq could fall>
<34	is	age this player>
<she	do	researching>
<Teaneck, New Jersey,	based	actress based>
<8-year-old girl	assualted	was>
<Sony,	did against	Cassidy file>
<food chain	sells the Sausage McMuffin	McDonald's>
<suicide	planning	kind of attacks Tibetan militants suspected of planning>
<Sallie Krawcheck	are the most powerful women	2007>
<heavy traffic	suspend	ryan kelly to temporarily suspend it>
<More than 90	recorded	number of aftershocks were>
<autism	At what age is	3 to 17>
<David Lavi,	can not get	the price he wants>
<overheated and dehydrated	the condition of	the female gorilla>
<Donna Brazile	say	Barack Obama's inauguration is a huge milestone in the fight for equal rights>
<Obama	What call for	"new chapter" of improved governance in Afghanistan>
<The	suspected	to the suspected pirates>
<Australia	did South Africa beat in	their first test>
<Australia	did South Africa beat in	their first test>
<U.S.-Pakistan bilateral relationship,	did Obama and Zadari reaffirm to	their commitment>
<Betty White	What say about Rue McClanahan	"Rue was a close and dear friend,">
<75 civilians	got kidnappead from a region	the massacre took place,>
<what suits	are in text	white>
<Attorney General Eric Holder	remains	noncommittal>
<What country	is Lust speaking about	Egypt>
<the Congolese Wildlife Authority officers	find	baby gorilla>
<$50 million	the price of the F-35 aircraft in	2001>
<many non - U.S. NATO troops	are at present	in>
<many non - U.S. NATO troops	are at present	There are currently 42,000>
<many non - U.S. NATO troops	are at present	42,000>
<Carol Daniels,	killed	was>
<Jeoy Lepore	say	the safety of anybody who comes over this bridge, then I really don't have an obligation to withhold>
<Jeoy Lepore	say	I have,">
<Jeoy Lepore	say	"If there's two people on this bridge who don't care about my safety and>
<Scott Roeder,	was	self - righteous>
<Cape Town	What is is set to benefit from	several major sporting events>
<deadliest	is	significant about the attack>
<no	detected	Have explosives been>
<Bradley Lockhart,	the name of	the father>
<"several children who appear to be	pulled	was from rubble>
<the rubble,"	pulled	was from rubble>
<Liam Gallagher	What is denying	at the Google Street View camera>
<Liam Gallagher	What is denying	denied that he is the man shown pointing>
<"box-by-box details" of the ballots	will	will ministry release>
<What number	are estimated to be homeless	280,000>
<must still be ratified	ratify	Do the teachers to ratify the agreement>
<the husband	get	some really strange looks.>
<Who	was not surprised PM was attacked	Berlusconi spokesman Paolo Buonaiuti>
<Comeaux	escape from prison	November 30>
<British teacher	is	Gillian Gibbons>
<the woman	When did vanish	On April 3, 2002,>
<the police	say	a 14-year-old who was>
<the police	say	Maryland>
<the police	say	stabbed in the ensuing melee,>
<the police	say	mother faces assault charges for allegedly ordering a group of teens to beat up>
<the police	say	A>
<Antonio Cristofaro	charged	was with illegal possession of animals>
<Amy Poehler,	ran on to	stage>
<Koolhaas	embraces contradictions in	a project>
<Rem	embraces contradictions in	a project>
<Pakistan	is	peshawar>
<115	was	many kilometers easy of Guatemala City the crash site>
<as the leader"	is conducting himself as	the leader>
<Mahmoud Ahmadinejad	is beginning second term as	Iran 's president>
<the significant intelligence from	What was	al Qaeda detainees>
<Mark Felt	do	reliable>
<the woman	say	This is America happening,">
<a revolutionary product	What is	the iPad>
<demand	What is El - Badri prepared to do if falls further	trim more production>
<the division's international broadcasting rights	is	up for tender>
<78,	age	James Presley 's>
<the doctors name	What is	Dr. Conrad Murray>
<antitrust exemption	repeal	did House to repeal>
<"Inspiring Impressionism"	the name of the event at	the museum>
<80 percent	the percentage by	2050>
<3d sci - fi   epic	goes in December	"Avatar">
<many mower accidents	happened in 2006	100,000>
<"Surfin' USA,"	first pop chart	Garrett 's>
<Jafar Ardabili's	matchmaking	matchmaking service>
<others	say	fix Earth's problems,>
<the coroners office waiting on	What type of test	toxicology>
<$140 million	the immediate payout of	the lottery>
<$627,	the fine for	speed racing>
<21 people	sentenced	many were were and sentenced in January for their roles in the scandal>
<he	What age was Dolla when was killed	21-year-old>
<$62,000	was	his fine>
<Rifqa Bary,	ran away from ; took refuge in home of Christian pastor	Ohio home>
<her family in Columbus,	ran away from ; took refuge in home of Christian pastor	Ohio home>
<in the	ran away from ; took refuge in home of Christian pastor	Ohio home>
<Rifqa Bary,	ran away from ; took refuge in home of Christian pastor	Ohio home>
<North Korea,	was	Clinton recently where>
<Bluestonehenge	the starting point of	a funeral processional route>
<Barkley	What say about schools	We've got to improve the public>
<fluoroquinolone	included	Which drugs are in the black box labeling>
<the TSA	want access to	"secret" intelligence>
<Which countries	did coca cultivation and cocaine production decrease in	Colombia>
<"Veggie Day,"	is	thursdays>
<many people	celebrated may Day celebrations	Thousands>
<French	is	his nationality>
<the newspaper	what say about the judge	were shocked to learn the remarks came from a>
<1,600	was	the death toll last year in Juarez>
<a vampire act	like	is a monster, who looks,>
<a vampire act	like	and talks>
<he	is from	South Korean>
<"Street Kings,"	is	Which film adequate with no surprises>
<Indian oil workers	protesting	were>
<the fifth bomb	Where did blow up	outside the Karkh Civil Court>
<the Syrian Embassies response	What is	denying the allegations,>
<The Illinois towns of Elmhurst and Wooddale	chipped	in money>
<Angola	was	the event>
<nearly a month	missing	long did Anthony to report missing girl>
<Lexi	hurt	was after complaining her feet hurt>
<Saturday, March 6,	meet	does FIFA>
<video footage	stream	will from the torch>
<Which city	is under curfew	Concepcion,>
<MMS,	crack	Legislation has been in part to help crack down on what>
<Barbara Bush	Is expected to recover	"She's fine,">
<Adolf Hitler	is he	art school>
<Irbil	the name of	the targeted   province>
<he	what do in 1999	contested the presidential race>
<in parts of England	are at a 60-year high	floodwaters>
<Donda West	was	Kanye 's mother>
<What nationality	was the ship	Dutch>
<Mumbai	What suffered in recent years	terror attacks>
<painful,	the side effects of	the HPV vaccine>
<an official	say	passengers Wednesday ended their siege after a four-hour standoff,>
<Didier Deschamps	was	the captain>
<Banita Jacks,	is	the mother>
<asking that their clients be allowed to post	seek	Will they bond>
<he	say	the million people>
<Kenyan police	wo n't confirm	the statements>
<Serbia,	wanted	is Ganic>
<amount of people	committed suicide in the last month	60>
<2,000	return	many residents in Los Angeles can home>
<Peru 's president	What say in response to the general 's comments	the statements by Gen. Edwin Donayre are not the official policy of>
<"Justice	denied	has been>
<Experts	say how many prostitutes work in the US	1 million to 2 million>
<the level of pornographic sex and visceral brutality	shocked	early audiences>
<Pakistan	fighting	Which countries fighting Taliban militants in increasingly difficult conditions>
<the Sirius Star	Was hijacked	the largest ship ever>
None
<the bestselling autor	is	Anita Diamant>
<many people	died crossing mediterranean	70>
<The city	losing how much money annually to theft	$3 million>
<the norm	are in India	Arranged marriages>
<the judge	say	There>
<professor of sociology	have	occupation does reginald daniel>
<Spector's defense team	says will appeal	they>
<Hakimullah Mehsud	meet reporters	Sunday>
<Rafael Nadal	defeats	David Ferrer>
<Abdullah	put	king to have put Saudi Arabia>
<Paul	is this harvey speak of	they>
<the legendary radio host	is this harvey speak of	they>
<Ed Genson	resigned	is from the defense team>
<Mark Jensen	crime sentenced for	her>
<Mark Jensen	crime sentenced for	poisoning his wife with antifreeze and convicted of murdering>
<Standard & Poor's,	thinks eurozone 's public finances are still in	shape>
<Efren Peñaflorida	attend school In what country	Philippines,>
<Moore	tried to convince	Shakespeare 's family>
<last month,	die	did she>
<800	the total amount of women that Jennifer beat to get her role in " "	Dreamgirls>
<Winehouse	enter the hospital	Sunday,>
<many age	have players	12, 13 and 14>
<the supermodel	show CNN	Prague and tells of her love for the "Golden City,">
<the supermodel	show CNN	she learnt from growing up in a communist country and how she keeps smiling>
<the president	want	a compromise on health care legislation,>
<the president	want	to work out>
<Obama	Whose bible use	Abraham Lincoln,>
<#TahrirWoman and #Bluebra	emerged	twitter hashtags>
<revenge	vow	did vow>
<Virgin Galactic	have deposits from	300>
<Alexander Helb	offered a switch to	Inter Milan>
<Ross Lovegrove	the name of	the designer>
<CNN's	has asked to explain their green concepts	businesses>
<Nicole Smith's	died from	an accidental overdose of prescription drugs>
<Anna	died from	an accidental overdose of prescription drugs>
<Helmbrecht	How many years old is	37-year-old>
<John Kasich	the name of	the governor>
<International Red Cross	will be attending	these talks>
<Jean-Pierre Bemba,	is	the frontrunner>
<Joseph Kabila,	is	the frontrunner>
<Marlon Brando	did Malden co - star with in "	" The Streets of San Francisco>
<Five	arrested	many people were in connection with the death>
<Healing Waters Fly Fishing	the name of	Ed Nicholson project>
<the plane	take from	Palo Alto Airport>
<Michael Jai White	stars in	the film>
<4-year-old	is	age Abby Miller 's friend>
<the visit	focuses on	savoring Paris:>
<Luis Garcia's	scored the 4 goals against	Zaragoza>
<Argentine Maxi Rodriguez	scored the 4 goals against	Zaragoza>
<Diego Forlan	scored the 4 goals against	Zaragoza>
<Luis Garcia	scored the 4 goals against	Zaragoza>
<welterweight champion	is	miguel cotto>
<WBO	is	miguel cotto>
<the tremor	time strike	2:30 p.m.,>
<5,000	the death toll according to	the Red Crescent Society>
<cat	killed	kinds of animals have been>
<the king	hospitalized for	with fever and fatigue,>
<Preston	bragged about	her win>
<Guido Alejandro Antonini Wilson	much money try	$800,000>
<he	many charges face	85>
<of Georgia,	is the name of	University>
<How many shots	were fired	five to six>
<the most commonly cited benchmark	What is	Specific absorption rate, a measure of the rate of RF energy that your body absorbs from the phone,>
<English Premier League club Portsmouth	went into Friday	administration>
<Barbara	name	G.W. Bush 's mother 's>
<Gustavo Petro	connected	was with the M-19 guerrilla group>
<Which country	reduced its embassy 's operations	U.S.>
<animal	dragged Dawn Brancheau	killer whale>
<How much money	was the caretaking job	$100,000.>
<unusually warm tropical Atlantic surface temperatures	boost	is to boost storms>
<defending champion will	test	Nadal to test his injured knee>
<The	test	Nadal to test his injured knee>
<Facebook	What system have in place	complex automated>
<it	Where is being held	near Garacad, Somalia,>
<he	give a historic speech in April	Turkey,>
<people with swine flu	stopped	is being by British Airlines>
<Wyeth	types of business have	pharmaceutical and medical products>
<Citizens	Voters pick members of the lower house of	Egypt 's parliament>
<The federal government	establishing	is anew system>
<Republican front-runner	is	Herman Cain>
<Ramy Zamzam,	name	the mising student 's>
<J.K. Rowling	wrote a prequel for	an auction>
<Seventy-four	were	many survivors there>
<Mayweather's 2007 victory over De La Hoya	the most lucrative event in boxing	history>
<the creepy quiz show host	did	the bollywood star play>
<Tim Pawlenty,	is	the govenor>
<Bayer HealthCare,	does the Center for in the Public Interest plan to sue	Science>
<What	was enough to be elected the prime minister	A simple majority>
<the annual survey	say	Italy, Taiwan, Hong Kong>
<the annual survey	say	"Global>
<the annual survey	say	declines in press freedom">
<Seven	picked	many high court members were by the GOP>
<the medical reason	what was	suspicious bleeding>
<lohan 's rep	what say about her	issues "such as homelessness, lack of funding for public education and relations between America and its allies,">
<lohan 's rep	what say about her	Lindsay>
<lohan 's rep	what say about her	need for a better toothpaste should not outshine more important>
<the bombings	take place	the holy city of Karbala>
<A rare tornado	is	there a warning at southeastern Orage County>
<Orange	is	there a warning at southeastern Orage County>
<Air Force,	mentioned	Which service is>
<Vic Armstrong	been in the business	40>
<officers	are in a horrible position	in a>
<a Government Accountability Office	report	Which report abuse>
<the Swedish coach	is	Lars Lagerback,>
<employee	unknowingly exposed patients and staff to , the hospital says	TB>
<Valentino Rossi's	claimed pole position at	Italian MotoGP>
<near Eldorado	is	the compound>
<the Texas teen	What is diagnosed with	swine flu>
<Bahrain`s crown price	said about security	and the safety of its people have never been, and will never be, negotiable,">
<President Obama	will deliver	the eulogy>
<60 percent	are	percentage of the people Muslim>
<Rob Thomas	a member of what band	Matchbox Twenty>
<opium production	Where has dropped	Afghanistan's>
<Amy Adams	character play	Amelia Earhart,>
<protesting a deal	were marching in and why	Kiev>
<Thousands of opposition demonstrators	were marching in and why	Kiev>
<Marcelo Lucero,	killed	was in ' 08>
<20	the number of boulders which rolled down	mountain>
<fans	get refunds for canceled shows	will be issued>
<fans	get refunds for canceled shows	all>
<the House Minority Leader	is	John Boehner,>
<early	scored	long into the game was the winning goal>
<many additional states	seen proposals of oppostion introduced	22>
<the tourist corridor	How long is	50-mile>
<Judge Isai Jean Louis,	is interviewing	the officer>
<Dominick's mother,	is	corrie baker>
<the attachment	How long will last	two-month>
<Greenpeace	want interior secretary to ban	new drilling>
<he	other films done	"Temple of Doom">
<Mayumi	What told to the authorities about the kid	the giant helium balloon was specifically created for a hoax>
<Mayumi	What told to the authorities about the kid	draw media attention,>
<many people	died since march	11th>
<Forensic examination of the deputy	take how many weeks	several>
<Sri Lanka's Tamil rebels	did urge to allow civilians to leave	India>
<DNA	found	evidence was that links to a suspect>
<Robinho	makes a winning second debut for	Santos>
<United States	announced that many visas for would be suspended	Hondurans>
<Tuesday	announced that many visas for would be suspended	Hondurans>
<Dr. Lisa Newman,	is the doctor in	this summary>
<33,	the age of	robyn>
<a hoard of gold coins	found	was by a British volunteer>
<Gene Seymour	says was sad	his life>
<time	first quake	11:39 a.m. local>
<School-age girls	are	the victims>
<What position	is Dan Carter	Flyhalf>
<What	has been consistently shown to be a top concern	security>
<Jessica Keenan	has	Stage 4 breast cancer>
